3060;Kabinet;0;335.0;115.0;362.0;150.0
3058;Kabinet;0;362.0;118.0;386.0;152.0
3057;Kabinet;0;387.0;117.0;406.0;152.0
3055;Kabinet;0;407.0;118.0;424.0;146.0
3053;Kabinet;0;425.0;118.0;450.0;151.0
3050;Kabinet;0;452.0;117.0;478.0;151.0
3048;Kabinet;0;478.0;117.0;506.0;150.0
3046;Kabinet;0;506.0;117.0;526.0;151.0
3045;Kabinet;0;527.0;117.0;549.0;151.0
3044;Kabinet;0;550.0;118.0;593.0;149.0
3114;Kabinet;0;27.0;165.0;59.0;203.0
3115;Koosolekuruum;0;71.0;165.0;115.0;201.0
3116;Kabinet;0;115;165.0;135.0;202.0
3117;Kabinet;0;135.0;165.0;159.0;202.0
3118;Puhkeruum;0;159.0;163.0;195.0;201.0
3067;Kabinet;0;239.0;166.0;274.0;201.0
3065;Kabinet;0;276.0;166.0;298.0;205.0
3063;Kabinet;0;298.0;165.0;331.0;202.0
3061;Kabinet;0;332.0;165.0;351.0;205.0
3059;Kabinet;0;352.0;164.0;384.0;203.0
3058;Kabinet;0;386.0;172.0;405.0;204.0
3054;Kabinet;0;406.0;165.0;439.0;205.0
3052;Kabinet;0;441.0;165.0;459.0;203.0
3051;Kabinet;0;461.0;167.0;487.0;204.0
3049;Kabinet;0;488.0;163.0;513.0;204.0
3047;Puhkeruum;0;514.0;164.0;553.0;203.0
3113;Kabinet;0;27.0;204.0;58.0;219.0
3111;Kabinet;0;26.0;222.0;55.0;237.0
3110;Kabinet;0;27.0;240.0;55.0;257.0
3108;Kabinet;0;27.0;257.0;54.0;285.0
3106;Kabinet;0;27.0;287.0;54.0;313.0
3104;Kabinet;0;26.0;314.0;57.0;330.0
3102;Kabinet;0;27.0;333.0;58.0;349.0
3100;Kabinet;0;27.0;351.0;57.0;368.0
3099;Kabinet;0;28.0;369.0;57.0;386.0
3097;Kabinet;0;27.0;389.0;52.0;413.0
3096;Kabinet;0;27.0;413.0;58.0;456.0
3112;Kabinet;0;72.0;204.0;105.0;235.0
3109;Kabinet;0;73.0;237.0;107.0;270.0
3107;Kabinet;0;71.0;269.0;106.0;295.0
3105;Kabinet;0;71.0;295.0;107.0;314.0
3103;Kabinet;0;71.0;315.0;106.0;342.0
3101;Kabinet;0;71.0;343.0;109.0;365.0
3085;Hoiuruum;0;101.0;367.0;141.0;395.0
3087;Koosolekuruum;0;70.0;395.0;136.0;425.0
3091;Koosolekuruum;0;71.0;425.0;125.0;474.0
3092;Sandbox;0;26.0;529.0;140.0;722.0
3095;Isejuhtivate sõidukite labor;0;27.0;719.0;99.0;797.0
3037;Kabinet;0;710.0;45.0;744.0;76.0
3038;Kabinet;0;691.0;71.0;731.0;92.0
3039;Kabinet;0;679.0;86.0;718.0;109.0
3040;Kabinet;0;667.0;99.0;702.0;126.0
3041;Kabinet;0;652.0;120.0;687.0;150.0
3042;Kabinet;0;633.0;139.0;669.0;168.0
3043;Kabinet;0;616.0;161.0;652.0;215.0
3071;Kabinet;0;151.0;201.0;187.0;228.0
3073;Kabinet;0;146.0;224.0;183.0;242.0
3074;Kabinet;0;142.0;241.0;176.0;265.0
3077;Kabinet;0;138.0;259.0;171.0;298.0
3079;Kabinet;0;126.0;299.0;163.0;332.0
3081;Kabinet;0;120.0;330.0;156.0;365.0
3070;Kabinet;0;203.0;194.0;243.0;229.0
3072;Kabinet;0;194.0;228.0;234.0;255.0
3075;Kabinet;0;194.0;253.0;228.0;279.0
3076;Kabinet;0;181.0;279.0;223.0;303.0
3078;Kabinet;0;175.0;303.0;217.0;330.0
3080;Kabinet;0;168.0;329.0;210.0;356.0
3082;Kabinet;0;161.0;352.0;203.0;379.0
3086;Kabinet;0;150.0;394.0;193.0;423.0
3088;Kabinet;0;149.0;425.0;184.0;444.0
3089;Kabinet;0;136.0;440.0;179.0;463.0
3090;Kabinet;0;132.0;464.0;173.0;489.0
4107;Kabinet;0;25.0;12.0;55.0;49.0
4108;Kabinet;0;56.0;12.0;74.0;48.0
4110;Kabinet;0;74.0;12.0;100.0;51.0
4112;N/A;0;100.0;37.0;114.0;49.0
4114;N/A;0;115.0;36.0;129.0;49.0
4002;Üliõpilaste nõustamine;0;185.0;12.0;225.0;48.0
4003;Kabinet;0;226.0;12.0;244.0;48.0
4004;Kabinet;0;245.0;12.0;271.0;48.0
4006;Kabinet;0;273.0;11.0;295.0;51.0
4007;Kabinet;0;295.0;11.0;321.0;46.0
4009;Kabinet;0;321.0;11.0;348.0;48.0
4011;Kabinet;0;349.0;11.0;375.0;50.0
4012;Kabinet;0;377.0;12.0;402.0;48.0
4014;Kabinet;0;401.0;11.0;420.0;43.0
4015;Kabinet;0;421.0;12.0;438.0;43.0
4016;Kabinet;0;439.0;12.0;455.0;50.0
4018;Kabinet;0;457.0;11.0;484.0;50.0
4019;Kabinet;0;485.0;13.0;510.0;44.0
4021;Kabinet;0;512.0;11.0;531.0;47.0
4023;Kabinet;0;532.0;11.0;556.0;48.0
4024;Kabinet;0;558.0;12.0;573.0;48.0
4025;Kabinet;0;575.0;12.0;591.0;48.0
4026;Kabinet;0;592.0;12.0;613.0;49.0
4028;N/A;0;626.0;38.0;654.0;49.0
4029;Kabinet;0;655.0;12.0;686.0;49.0
4030;Kabinet;0;686.0;13.0;706.0;51.0
4031;Kabinet;0;708.0;13.0;726.0;50.0
4032;Kabinet;0;725.0;13.0;783.0;66.0
4106;Kabinet;0;23.0;62.0;56.0;79.0
4105;Kabinet;0;25.0;81.0;55.0;97.0
4109;Käsitööruum;0;68.0;63.0;101.0;97.0
4111;N/A;0;101.0;63.0;113.0;96.0
4113;N/a;0;114.0;64.0;125.0;95.0
4005;Käsitöö-/Puhkeruum,Skype;0;226.0;63.0;331.0;96.0
4010;Ventilatsioon;0;331.0;63.0;402.0;98.0
4013;Kabinet;0;404.0;66.0;457.0;100.0
4017;Kabinet;0;456.0;65.0;509.0;98.0
4020;Kabinet;0;511.0;62.0;533.0;98.0
4022;Kabinet;0;535.0;64.0;557.0;95.0
4033;N/A;0;614.0;63.0;627.0;79.0
4064;Kabinet;0;212.0;125.0;261.0;159.0
4061;Kabinet;0;261.0;125.0;296.0;158.0
4058;Kabinet;0;295.0;125.0;330.0;159.0
4056;Ventilatsioon;0;331.0;126.0;403.0;161.0
4052;Kabinet;0;403.0;125.0;449.0;161.0
